Speaker,n_talks,bom_tilt_pp,dc_tilt_pp,pgp_tilt_pp,nt_tilt_pp,ot_tilt_pp,bom_raw_share,dc_raw_share,pgp_raw_share,nt_raw_share,ot_raw_share,bom_va_share,dc_va_share,pgp_va_share,nt_va_share,ot_va_share
Joseph Anderson,13,-7.0915289327844135,-8.263170559355142,48.15763862556262,-20.12030056116992,-12.682638572253142,0.11688311688311688,0.2857142857142857,0.15584415584415584,0.2987012987012987,0.14285714285714285,0.045967827555272754,0.20308258012073427,0.637420542099782,0.0974982930895995,0.01603075713461143
Joseph B. Wirthlin,53,-11.484585832100553,1.676538523768245,34.510528425753115,-17.317595743758414,-7.384885373662408,0.28419654714475434,0.21779548472775564,0.06640106241699867,0.3426294820717131,0.08897742363877822,0.16935068882374882,0.2345608699654381,0.41150634667452984,0.169453524634129,0.015128569902154134
Julie B. Beck,15,-14.834776202047081,-5.74734083906267,38.82575594053016,-11.210153071132469,-7.033485828287933,0.27702702702702703,0.3581081081081081,0.10135135135135136,0.18243243243243243,0.08108108108108109,0.12867926500655621,0.3006346997174814,0.4896089107566529,0.07033090172110774,0.01074622279820176
Keith B. McMullin,11,-10.359566690535424,-3.0283233801403906,34.135134840832556,-13.971803791692464,-6.775440978464287,0.21145374449339208,0.3876651982378855,0.07929515418502203,0.2422907488986784,0.07929515418502203,0.10785807758803784,0.35738196443648157,0.42064650259334757,0.10257271098175377,0.011540744400379164
L. Tom Perry,87,-14.57880194047671,-3.453058930212677,47.54290878254858,-14.218576084617185,-15.292471827242004,0.26877470355731226,0.19960474308300397,0.12648221343873517,0.22924901185770752,0.17588932806324112,0.12298668415254517,0.1650741537808772,0.601911301264221,0.08706325101153568,0.022964609790821083
LeGrand Richards,22,-1.0833820367935287,1.4160875757637228,41.758467842988324,-17.823352348159112,-24.267821033799404,0.05641025641025641,0.03076923076923077,0.05641025641025641,0.541025641025641,0.3153846153846154,0.045576436042321124,0.044930106526868,0.47399493484013966,0.3627921175440499,0.07270640504662133
Loren C. Dunn,18,-3.7118050126062787,17.32930935163099,0.0,-9.996803423010697,-3.6207009160140156,0.2891566265060241,0.30120481927710846,0.0,0.3614457831325301,0.04819277108433735,0.2520385763799613,0.47449791279341835,0.0,0.26147774890242315,0.011985761924197195
M. Russell Ballard,88,-13.222214271516467,-1.5539526992970232,37.245283495665234,-18.669727313875804,-3.799389210975953,0.27603305785123966,0.26611570247933886,0.08429752066115702,0.32892561983471075,0.04462809917355372,0.143810915136075,0.2505761754863686,0.45675035561780936,0.14222834669595272,0.006634207063794189
Marion D. Hanks,21,-2.479331128498885,4.692317716321415,21.55233448839485,-11.11349795707161,-12.651823119145764,0.27636363636363637,0.07272727272727272,0.025454545454545455,0.45454545454545453,0.1709090909090909,0.2515703250786475,0.11965044989048687,0.24097789033849396,0.3434104749747384,0.044390859717633256
Marion G. Romney,65,-9.966210370430547,-4.225721302000474,33.88852065342429,-12.562332686015038,-7.1342562949782184,0.19854469854469856,0.4230769230769231,0.08108108108108109,0.21413721413721415,0.08316008316008316,0.09888259484039309,0.38081971005691834,0.41996628761532395,0.08851388727706379,0.011817520210300978
Mark E. Petersen,27,-5.005430596949026,4.3167953116604405,30.821423010615806,-21.003457442181293,-9.129330283145908,0.1475,0.2225,0.0525,0.465,0.1125,0.09744569403050973,0.2656679531166044,0.36071423010615805,0.2549654255781871,0.02120669716854091
Marvin J. Ashton,44,-6.019447559492298,4.629125880290269,28.532048534419296,-21.044298383385684,-6.09742847183158,0.1815068493150685,0.2226027397260274,0.04794520547945205,0.4726027397260274,0.07534246575342465,0.12131237372014551,0.2688939985289301,0.33326569082364504,0.26215975589217055,0.014368181035108852
N. Eldon Tanner,64,-7.474854407205209,-4.201954950283551,46.447085317642234,-19.894380828732267,-14.875895131421208,0.13813813813813813,0.24624624624624625,0.12312312312312312,0.3213213213213213,0.17117117117117117,0.06338959406608605,0.20422669674341073,0.5875939762995455,0.12237751303399864,0.022412219856959095
Neal A. Maxwell,53,-13.045583087436711,3.0560715344744027,31.39364978039505,-13.74667458592145,-7.657463641511295,0.362143891839691,0.19555770159343314,0.05552873008208595,0.2930951231289232,0.09367455335586673,0.23168806096532388,0.22611841693817716,0.3694652278860364,0.1556283772697087,0.017099916940753784
Neil L. Andersen,39,-10.187497561648428,3.8530731530457523,28.874819236358995,-16.863568307017566,-5.676826520738744,0.28888888888888886,0.22666666666666666,0.05037037037037037,0.36444444444444446,0.06962962962962962,0.18701391327240457,0.2651973981971242,0.3391185627339603,0.1958087613742688,0.01286136442224219
